array_type	array_size	frequency	config	elapsed_time
expt_seq	10	1.6GHz	0x09	0.018949
expt_seq	10	1.6GHz	0x60	0.008755
expt_seq	10	1.6GHz	0x69	0.008236
expt_seq	10	1.6GHz	0xf0	0.008587
expt_seq	10	1.6GHz	0x0f	0.020174
expt_seq	10	1.6GHz	0xff	0.008552
expt_seq	10	1.8GHz	0x09	0.018163
expt_seq	10	1.8GHz	0x60	0.008489
expt_seq	10	1.8GHz	0x69	0.008267
expt_seq	10	1.8GHz	0xf0	0.008233
expt_seq	10	1.8GHz	0x0f	0.0161
expt_seq	10	1.8GHz	0xff	0.009499
expt_seq	100	1.6GHz	0x09	0.019772
expt_seq	100	1.6GHz	0x60	0.010741
expt_seq	100	1.6GHz	0x69	0.009731
expt_seq	100	1.6GHz	0xf0	0.009958
expt_seq	100	1.6GHz	0x0f	0.018203
expt_seq	100	1.6GHz	0xff	0.010068
expt_seq	100	1.8GHz	0x09	0.018776
expt_seq	100	1.8GHz	0x60	0.011728
expt_seq	100	1.8GHz	0x69	0.010392
expt_seq	100	1.8GHz	0xf0	0.009935
expt_seq	100	1.8GHz	0x0f	0.023146
expt_seq	100	1.8GHz	0xff	0.010613
expt_seq	1000	1.6GHz	0x09	0.044987
expt_seq	1000	1.6GHz	0x60	0.025539
expt_seq	1000	1.6GHz	0x69	0.024612
expt_seq	1000	1.6GHz	0xf0	0.022051
expt_seq	1000	1.6GHz	0x0f	0.032139
expt_seq	1000	1.6GHz	0xff	0.023716
expt_seq	1000	1.8GHz	0x09	0.047318
expt_seq	1000	1.8GHz	0x60	0.024961
expt_seq	1000	1.8GHz	0x69	0.023927
expt_seq	1000	1.8GHz	0xf0	0.021025
expt_seq	1000	1.8GHz	0x0f	0.032577
expt_seq	1000	1.8GHz	0xff	0.023417
expt_seq	10000	1.6GHz	0x09	0.32009
expt_seq	10000	1.6GHz	0x60	0.18879
expt_seq	10000	1.6GHz	0x69	0.133883
expt_seq	10000	1.6GHz	0xf0	0.16052
expt_seq	10000	1.6GHz	0x0f	0.186411
expt_seq	10000	1.6GHz	0xff	0.1436
expt_seq	10000	1.8GHz	0x09	0.321104
expt_seq	10000	1.8GHz	0x60	0.188314
expt_seq	10000	1.8GHz	0x69	0.132721
expt_seq	10000	1.8GHz	0xf0	0.166996
expt_seq	10000	1.8GHz	0x0f	0.186257
expt_seq	10000	1.8GHz	0xff	0.128844
expt_seq	100000	1.6GHz	0x09	3.362862
expt_seq	100000	1.6GHz	0x60	1.951157
expt_seq	100000	1.6GHz	0x69	1.281706
expt_seq	100000	1.6GHz	0xf0	1.442211
expt_seq	100000	1.6GHz	0x0f	1.964123
expt_seq	100000	1.6GHz	0xff	0.92952
expt_seq	100000	1.8GHz	0x09	3.392262
expt_seq	100000	1.8GHz	0x60	2.011099
expt_seq	100000	1.8GHz	0x69	1.294358
expt_seq	100000	1.8GHz	0xf0	1.458161
expt_seq	100000	1.8GHz	0x0f	1.957179
expt_seq	100000	1.8GHz	0xff	0.950984
expt_seq	1000000	1.6GHz	0x09	36.155283
expt_seq	1000000	1.6GHz	0x60	20.541105
expt_seq	1000000	1.6GHz	0x69	13.614027
expt_seq	1000000	1.6GHz	0xf0	14.83702
