array_type	config	frequency	array_size	lower_limit	elapsed_time
expt_seq	0x0f	1.8GHz	10	2	0.022967
expt_seq	0x0f	1.8GHz	10	2	0.019152
expt_seq	0x0f	1.8GHz	10	2	0.019366
expt_seq	0x0f	1.8GHz	10	2	0.022449
expt_seq	0x0f	1.8GHz	10	2	0.02197
expt_seq	0x0f	1.8GHz	10	4	0.019081
expt_seq	0x0f	1.8GHz	10	4	0.019239
expt_seq	0x0f	1.8GHz	10	4	0.019235
expt_seq	0x0f	1.8GHz	10	4	0.019135
expt_seq	0x0f	1.8GHz	10	4	0.021193
expt_seq	0x0f	1.8GHz	10	8	0.018765
expt_seq	0x0f	1.8GHz	10	8	0.018646
expt_seq	0x0f	1.8GHz	10	8	0.019137
expt_seq	0x0f	1.8GHz	10	8	0.018637
expt_seq	0x0f	1.8GHz	10	8	0.023083
expt_seq	0x0f	1.8GHz	100	2	0.023174
expt_seq	0x0f	1.8GHz	100	2	0.021343
expt_seq	0x0f	1.8GHz	100	2	0.025837
expt_seq	0x0f	1.8GHz	100	2	0.021391
expt_seq	0x0f	1.8GHz	100	2	0.021398
expt_seq	0x0f	1.8GHz	100	4	0.021346
expt_seq	0x0f	1.8GHz	100	4	0.021713
expt_seq	0x0f	1.8GHz	100	4	0.0232
expt_seq	0x0f	1.8GHz	100	4	0.021727
expt_seq	0x0f	1.8GHz	100	4	0.02136
expt_seq	0x0f	1.8GHz	100	8	0.020992
expt_seq	0x0f	1.8GHz	100	8	0.021208
expt_seq	0x0f	1.8GHz	100	8	0.020931
expt_seq	0x0f	1.8GHz	100	8	0.024985
expt_seq	0x0f	1.8GHz	100	8	0.020899
expt_seq	0x0f	1.8GHz	100	16	0.020562
expt_seq	0x0f	1.8GHz	100	16	0.02291
expt_seq	0x0f	1.8GHz	100	16	0.020668
expt_seq	0x0f	1.8GHz	100	16	0.020889
expt_seq	0x0f	1.8GHz	100	16	0.020757
expt_seq	0x0f	1.8GHz	100	32	0.024671
expt_seq	0x0f	1.8GHz	100	32	0.020058
expt_seq	0x0f	1.8GHz	100	32	0.020077
expt_seq	0x0f	1.8GHz	100	32	0.020125
expt_seq	0x0f	1.8GHz	100	32	0.024025
expt_seq	0x0f	1.8GHz	100	64	0.019595
expt_seq	0x0f	1.8GHz	100	64	0.022889
expt_seq	0x0f	1.8GHz	100	64	0.019586
expt_seq	0x0f	1.8GHz	100	64	0.019467
expt_seq	0x0f	1.8GHz	100	64	0.022614
expt_seq	0x0f	1.8GHz	1000	2	0.03628
expt_seq	0x0f	1.8GHz	1000	2	0.038587
expt_seq	0x0f	1.8GHz	1000	2	0.039565
expt_seq	0x0f	1.8GHz	1000	2	0.041047
expt_seq	0x0f	1.8GHz	1000	2	0.036844
expt_seq	0x0f	1.8GHz	1000	4	0.036329
expt_seq	0x0f	1.8GHz	1000	4	0.041506
expt_seq	0x0f	1.8GHz	1000	4	0.035982
expt_seq	0x0f	1.8GHz	1000	4	0.036031
expt_seq	0x0f	1.8GHz	1000	4	0.035668
expt_seq	0x0f	1.8GHz	1000	8	0.035552
expt_seq	0x0f	1.8GHz	1000	8	0.034621
expt_seq	0x0f	1.8GHz	1000	8	0.037364
expt_seq	0x0f	1.8GHz	1000	8	0.034422
expt_seq	0x0f	1.8GHz	1000	8	0.034399
expt_seq	0x0f	1.8GHz	1000	16	0.032905
expt_seq	0x0f	1.8GHz	1000	16	0.035764
expt_seq	0x0f	1.8GHz	1000	16	0.032883
expt_seq	0x0f	1.8GHz	1000	16	0.033294
expt_seq	0x0f	1.8GHz	1000	16	0.036737
expt_seq	0x0f	1.8GHz	1000	32	0.031742
expt_seq	0x0f	1.8GHz	1000	32	0.032295
expt_seq	0x0f	1.8GHz	1000	32	0.03494
expt_seq	0x0f	1.8GHz	1000	32	0.03171
expt_seq	0x0f	1.8GHz	1000	32	0.031844
