array_type	config	frequency	array_size	lower_limit	elapsed_time
expt_seq	0x69	1.8GHz	10	2	0.009323
expt_seq	0x69	1.8GHz	10	2	0.009439
expt_seq	0x69	1.8GHz	10	2	0.009643
expt_seq	0x69	1.8GHz	10	2	0.018616
expt_seq	0x69	1.8GHz	10	2	0.010608
expt_seq	0x69	1.8GHz	10	4	0.009642
expt_seq	0x69	1.8GHz	10	4	0.010164
expt_seq	0x69	1.8GHz	10	4	0.009409
expt_seq	0x69	1.8GHz	10	4	0.009509
expt_seq	0x69	1.8GHz	10	4	0.011523
expt_seq	0x69	1.8GHz	10	8	0.018402
expt_seq	0x69	1.8GHz	10	8	0.009399
expt_seq	0x69	1.8GHz	10	8	0.009259
expt_seq	0x69	1.8GHz	10	8	0.010489
expt_seq	0x69	1.8GHz	10	8	0.01129
expt_seq	0x69	1.8GHz	100	2	0.013264
expt_seq	0x69	1.8GHz	100	2	0.011111
expt_seq	0x69	1.8GHz	100	2	0.011813
expt_seq	0x69	1.8GHz	100	2	0.015274
expt_seq	0x69	1.8GHz	100	2	0.011845
expt_seq	0x69	1.8GHz	100	4	0.020376
expt_seq	0x69	1.8GHz	100	4	0.011224
expt_seq	0x69	1.8GHz	100	4	0.011028
expt_seq	0x69	1.8GHz	100	4	0.011198
expt_seq	0x69	1.8GHz	100	4	0.011617
expt_seq	0x69	1.8GHz	100	8	0.010721
expt_seq	0x69	1.8GHz	100	8	0.011171
expt_seq	0x69	1.8GHz	100	8	0.011134
expt_seq	0x69	1.8GHz	100	8	0.012646
expt_seq	0x69	1.8GHz	100	8	0.011194
expt_seq	0x69	1.8GHz	100	16	0.010342
expt_seq	0x69	1.8GHz	100	16	0.012781
expt_seq	0x69	1.8GHz	100	16	0.010602
expt_seq	0x69	1.8GHz	100	16	0.011315
expt_seq	0x69	1.8GHz	100	16	0.011084
expt_seq	0x69	1.8GHz	100	32	0.010015
expt_seq	0x69	1.8GHz	100	32	0.010041
expt_seq	0x69	1.8GHz	100	32	0.010209
expt_seq	0x69	1.8GHz	100	32	0.011299
expt_seq	0x69	1.8GHz	100	32	0.009937
expt_seq	0x69	1.8GHz	100	64	0.009546
expt_seq	0x69	1.8GHz	100	64	0.009594
expt_seq	0x69	1.8GHz	100	64	0.009931
expt_seq	0x69	1.8GHz	100	64	0.009596
expt_seq	0x69	1.8GHz	100	64	0.01168
expt_seq	0x69	1.8GHz	1000	2	0.03366
expt_seq	0x69	1.8GHz	1000	2	0.023541
expt_seq	0x69	1.8GHz	1000	2	0.036024
expt_seq	0x69	1.8GHz	1000	2	0.024079
expt_seq	0x69	1.8GHz	1000	2	0.023427
expt_seq	0x69	1.8GHz	1000	4	0.025309
expt_seq	0x69	1.8GHz	1000	4	0.023669
expt_seq	0x69	1.8GHz	1000	4	0.023941
expt_seq	0x69	1.8GHz	1000	4	0.032292
expt_seq	0x69	1.8GHz	1000	4	0.024304
expt_seq	0x69	1.8GHz	1000	8	0.021646
expt_seq	0x69	1.8GHz	1000	8	0.024012
expt_seq	0x69	1.8GHz	1000	8	0.021427
expt_seq	0x69	1.8GHz	1000	8	0.021642
expt_seq	0x69	1.8GHz	1000	8	0.022111
expt_seq	0x69	1.8GHz	1000	16	0.020974
expt_seq	0x69	1.8GHz	1000	16	0.021167
expt_seq	0x69	1.8GHz	1000	16	0.023267
expt_seq	0x69	1.8GHz	1000	16	0.019447
expt_seq	0x69	1.8GHz	1000	16	0.021807
expt_seq	0x69	1.8GHz	1000	32	0.02894
expt_seq	0x69	1.8GHz	1000	32	0.017901
expt_seq	0x69	1.8GHz	1000	32	0.028715
expt_seq	0x69	1.8GHz	1000	32	0.017261
expt_seq	0x69	1.8GHz	1000	32	0.019585
expt_seq	0x69	1.8GHz	1000	64	0.026983
expt_seq	0x69	1.8GHz	1000	64	0.028143
expt_seq	0x69	1.8GHz	1000	64	0.027764
expt_seq	0x69	1.8GHz	1000	64	0.019213
expt_seq	0x69	1.8GHz	1000	64	0.020362
expt_seq	0x69	1.8GHz	1000	128	0.016122
expt_seq	0x69	1.8GHz	1000	128	0.015787
expt_seq	0x69	1.8GHz	1000	128	0.014841
expt_seq	0x69	1.8GHz	1000	128	0.035447
expt_seq	0x69	1.8GHz	1000	128	0.015155
expt_seq	0x69	1.8GHz	1000	256	0.015019
expt_seq	0x69	1.8GHz	1000	256	0.016089
expt_seq	0x69	1.8GHz	1000	256	0.018886
expt_seq	0x69	1.8GHz	1000	256	0.017621
expt_seq	0x69	1.8GHz	1000	256	0.014943
expt_seq	0x69	1.8GHz	1000	512	0.02085
expt_seq	0x69	1.8GHz	1000	512	0.027861
expt_seq	0x69	1.8GHz	1000	512	0.015659
expt_seq	0x69	1.8GHz	1000	512	0.01487
expt_seq	0x69	1.8GHz	1000	512	0.015096
expt_seq	0x69	1.8GHz	10000	2	0.134576
expt_seq	0x69	1.8GHz	10000	2	0.156433
expt_seq	0x69	1.8GHz	10000	2	0.141287
expt_seq	0x69	1.8GHz	10000	2	0.127741
expt_seq	0x69	1.8GHz	10000	2	0.132871
expt_seq	0x69	1.8GHz	10000	4	0.126322
expt_seq	0x69	1.8GHz	10000	4	0.12446
expt_seq	0x69	1.8GHz	10000	4	0.125091
expt_seq	0x69	1.8GHz	10000	4	0.143033
expt_seq	0x69	1.8GHz	10000	4	0.145552
expt_seq	0x69	1.8GHz	10000	8	0.113745
expt_seq	0x69	1.8GHz	10000	8	0.118018
expt_seq	0x69	1.8GHz	10000	8	0.124948
expt_seq	0x69	1.8GHz	10000	8	0.113339
expt_seq	0x69	1.8GHz	10000	8	0.124429
expt_seq	0x69	1.8GHz	10000	16	0.108434
expt_seq	0x69	1.8GHz	10000	16	0.105003
expt_seq	0x69	1.8GHz	10000	16	0.105711
expt_seq	0x69	1.8GHz	10000	16	0.107681
expt_seq	0x69	1.8GHz	10000	16	0.107514
expt_seq	0x69	1.8GHz	10000	32	0.091679
expt_seq	0x69	1.8GHz	10000	32	0.092981
expt_seq	0x69	1.8GHz	10000	32	0.093814
expt_seq	0x69	1.8GHz	10000	32	0.092994
expt_seq	0x69	1.8GHz	10000	32	0.127548
expt_seq	0x69	1.8GHz	10000	64	0.134659
expt_seq	0x69	1.8GHz	10000	64	0.081351
expt_seq	0x69	1.8GHz	10000	64	0.084778
expt_seq	0x69	1.8GHz	10000	64	0.086311
expt_seq	0x69	1.8GHz	10000	64	0.096222
expt_seq	0x69	1.8GHz	10000	128	0.099549
expt_seq	0x69	1.8GHz	10000	128	0.113107
expt_seq	0x69	1.8GHz	10000	128	0.084364
expt_seq	0x69	1.8GHz	10000	128	0.084113
expt_seq	0x69	1.8GHz	10000	128	0.07643
expt_seq	0x69	1.8GHz	10000	256	0.07547
expt_seq	0x69	1.8GHz	10000	256	0.079353
expt_seq	0x69	1.8GHz	10000	256	0.11356
expt_seq	0x69	1.8GHz	10000	256	0.074459
expt_seq	0x69	1.8GHz	10000	256	0.081467
expt_seq	0x69	1.8GHz	10000	512	0.082291
expt_seq	0x69	1.8GHz	10000	512	0.083921
expt_seq	0x69	1.8GHz	10000	512	0.106714
expt_seq	0x69	1.8GHz	10000	512	0.08087
expt_seq	0x69	1.8GHz	10000	512	0.07913
expt_seq	0x69	1.8GHz	10000	1024	0.129165
expt_seq	0x69	1.8GHz	10000	1024	0.101641
expt_seq	0x69	1.8GHz	10000	1024	0.102959
expt_seq	0x69	1.8GHz	10000	1024	0.103366
expt_seq	0x69	1.8GHz	10000	1024	0.131281
expt_seq	0x69	1.8GHz	10000	2048	0.13817
expt_seq	0x69	1.8GHz	10000	2048	0.12089
expt_seq	0x69	1.8GHz	10000	2048	0.12687
expt_seq	0x69	1.8GHz	10000	2048	0.13508
expt_seq	0x69	1.8GHz	10000	2048	0.124012
expt_seq	0x69	1.8GHz	10000	4096	0.529508
expt_seq	0x69	1.8GHz	10000	4096	0.529231
expt_seq	0x69	1.8GHz	10000	4096	0.255534
expt_seq	0x69	1.8GHz	10000	4096	0.516462
expt_seq	0x69	1.8GHz	10000	4096	0.499635
expt_seq	0x69	1.8GHz	10000	8192	0.953218
expt_seq	0x69	1.8GHz	10000	8192	0.942131
expt_seq	0x69	1.8GHz	10000	8192	0.969392
expt_seq	0x69	1.8GHz	10000	8192	0.938494
expt_seq	0x69	1.8GHz	10000	8192	0.939753
expt_seq	0x69	1.8GHz	100000	2	1.446591
expt_seq	0x69	1.8GHz	100000	2	1.416966
expt_seq	0x69	1.8GHz	100000	2	1.400264
expt_seq	0x69	1.8GHz	100000	2	1.622612
expt_seq	0x69	1.8GHz	100000	2	1.37407
expt_seq	0x69	1.8GHz	100000	4	1.370588
expt_seq	0x69	1.8GHz	100000	4	1.475158
expt_seq	0x69	1.8GHz	100000	4	1.521378
expt_seq	0x69	1.8GHz	100000	4	1.825881
expt_seq	0x69	1.8GHz	100000	4	1.747192
expt_seq	0x69	1.8GHz	100000	8	1.249101
expt_seq	0x69	1.8GHz	100000	8	1.365676
expt_seq	0x69	1.8GHz	100000	8	1.287051
expt_seq	0x69	1.8GHz	100000	8	1.519787
expt_seq	0x69	1.8GHz	100000	8	1.372963
expt_seq	0x69	1.8GHz	100000	16	1.127318
expt_seq	0x69	1.8GHz	100000	16	1.521075
expt_seq	0x69	1.8GHz	100000	16	1.337175
expt_seq	0x69	1.8GHz	100000	16	1.367135
expt_seq	0x69	1.8GHz	100000	16	1.286999
expt_seq	0x69	1.8GHz	100000	32	1.226833
expt_seq	0x69	1.8GHz	100000	32	1.106651
expt_seq	0x69	1.8GHz	100000	32	1.1176
expt_seq	0x69	1.8GHz	100000	32	1.031589
expt_seq	0x69	1.8GHz	100000	32	1.413123
expt_seq	0x69	1.8GHz	100000	64	1.015087
expt_seq	0x69	1.8GHz	100000	64	1.063856
expt_seq	0x69	1.8GHz	100000	64	1.394189
expt_seq	0x69	1.8GHz	100000	64	0.989574
expt_seq	0x69	1.8GHz	100000	64	1.031944
expt_seq	0x69	1.8GHz	100000	128	0.911596
expt_seq	0x69	1.8GHz	100000	128	1.305098
expt_seq	0x69	1.8GHz	100000	128	0.923267
expt_seq	0x69	1.8GHz	100000	128	1.339902
expt_seq	0x69	1.8GHz	100000	128	0.951138
expt_seq	0x69	1.8GHz	100000	256	0.952861
expt_seq	0x69	1.8GHz	100000	256	0.906086
expt_seq	0x69	1.8GHz	100000	256	1.350602
expt_seq	0x69	1.8GHz	100000	256	0.911785
expt_seq	0x69	1.8GHz	100000	256	1.184255
expt_seq	0x69	1.8GHz	100000	512	0.920887
expt_seq	0x69	1.8GHz	100000	512	0.910864
expt_seq	0x69	1.8GHz	100000	512	0.976414
expt_seq	0x69	1.8GHz	100000	512	1.193653
expt_seq	0x69	1.8GHz	100000	512	0.908432
expt_seq	0x69	1.8GHz	100000	1024	0.994832
expt_seq	0x69	1.8GHz	100000	1024	1.427874
expt_seq	0x69	1.8GHz	100000	1024	1.023122
expt_seq	0x69	1.8GHz	100000	1024	1.299413
expt_seq	0x69	1.8GHz	100000	1024	1.384021
expt_seq	0x69	1.8GHz	100000	2048	1.271911
expt_seq	0x69	1.8GHz	100000	2048	1.390364
expt_seq	0x69	1.8GHz	100000	2048	1.273546
expt_seq	0x69	1.8GHz	100000	2048	1.306321
expt_seq	0x69	1.8GHz	100000	2048	1.311096
expt_seq	0x69	1.8GHz	100000	4096	1.932366
expt_seq	0x69	1.8GHz	100000	4096	2.089789
expt_seq	0x69	1.8GHz	100000	4096	2.085478
expt_seq	0x69	1.8GHz	100000	4096	2.043549
expt_seq	0x69	1.8GHz	100000	4096	1.896565
expt_seq	0x69	1.8GHz	100000	8192	3.647362
expt_seq	0x69	1.8GHz	100000	8192	3.771027
expt_seq	0x69	1.8GHz	100000	8192	4.1684
expt_seq	0x69	1.8GHz	100000	8192	3.696155
expt_seq	0x69	1.8GHz	100000	8192	3.445096
expt_seq	0x69	1.8GHz	100000	16384	6.120998
expt_seq	0x69	1.8GHz	100000	16384	5.470731
expt_seq	0x69	1.8GHz	100000	16384	7.29552
expt_seq	0x69	1.8GHz	100000	16384	5.946011
expt_seq	0x69	1.8GHz	100000	16384	6.602194
expt_seq	0x69	1.8GHz	100000	32768	21.979735
expt_seq	0x69	1.8GHz	100000	32768	21.017023
expt_seq	0x69	1.8GHz	100000	32768	22.650567
expt_seq	0x69	1.8GHz	100000	32768	20.406002
expt_seq	0x69	1.8GHz	100000	32768	22.65896
expt_seq	0x69	1.8GHz	100000	65536	39.294103
expt_seq	0x69	1.8GHz	100000	65536	40.566588
expt_seq	0x69	1.8GHz	100000	65536	38.770959
expt_seq	0x69	1.8GHz	100000	65536	39.114066
expt_seq	0x69	1.8GHz	100000	65536	40.510417
