array_type	config	frequency	array_size	lower_limit	elapsed_time
expt_seq	0xf0	1.6GHz	10	2	0.009793
expt_seq	0xf0	1.6GHz	10	2	0.009541
expt_seq	0xf0	1.6GHz	10	2	0.009354
expt_seq	0xf0	1.6GHz	10	2	0.009908
expt_seq	0xf0	1.6GHz	10	2	0.009783
expt_seq	0xf0	1.6GHz	10	4	0.010712
expt_seq	0xf0	1.6GHz	10	4	0.009468
expt_seq	0xf0	1.6GHz	10	4	0.009752
expt_seq	0xf0	1.6GHz	10	4	0.009818
expt_seq	0xf0	1.6GHz	10	4	0.010143
expt_seq	0xf0	1.6GHz	10	8	0.009585
expt_seq	0xf0	1.6GHz	10	8	0.009395
expt_seq	0xf0	1.6GHz	10	8	0.009781
expt_seq	0xf0	1.6GHz	10	8	0.009968
expt_seq	0xf0	1.6GHz	10	8	0.009953
expt_seq	0xf0	1.6GHz	100	2	0.011729
expt_seq	0xf0	1.6GHz	100	2	0.011674
expt_seq	0xf0	1.6GHz	100	2	0.011718
expt_seq	0xf0	1.6GHz	100	2	0.012808
expt_seq	0xf0	1.6GHz	100	2	0.011425
expt_seq	0xf0	1.6GHz	100	4	0.011503
expt_seq	0xf0	1.6GHz	100	4	0.01093
expt_seq	0xf0	1.6GHz	100	4	0.011924
expt_seq	0xf0	1.6GHz	100	4	0.011789
expt_seq	0xf0	1.6GHz	100	4	0.011751
expt_seq	0xf0	1.6GHz	100	8	0.01077
expt_seq	0xf0	1.6GHz	100	8	0.010992
expt_seq	0xf0	1.6GHz	100	8	0.010602
expt_seq	0xf0	1.6GHz	100	8	0.011105
expt_seq	0xf0	1.6GHz	100	8	0.011175
expt_seq	0xf0	1.6GHz	100	16	0.010806
expt_seq	0xf0	1.6GHz	100	16	0.011574
expt_seq	0xf0	1.6GHz	100	16	0.010415
expt_seq	0xf0	1.6GHz	100	16	0.011072
expt_seq	0xf0	1.6GHz	100	16	0.010607
expt_seq	0xf0	1.6GHz	100	32	0.011864
expt_seq	0xf0	1.6GHz	100	32	0.012422
expt_seq	0xf0	1.6GHz	100	32	0.010422
expt_seq	0xf0	1.6GHz	100	32	0.010171
expt_seq	0xf0	1.6GHz	100	32	0.010646
expt_seq	0xf0	1.6GHz	100	64	0.009852
expt_seq	0xf0	1.6GHz	100	64	0.010089
expt_seq	0xf0	1.6GHz	100	64	0.00979
expt_seq	0xf0	1.6GHz	100	64	0.009577
expt_seq	0xf0	1.6GHz	100	64	0.009945
expt_seq	0xf0	1.6GHz	1000	2	0.023148
expt_seq	0xf0	1.6GHz	1000	2	0.021637
expt_seq	0xf0	1.6GHz	1000	2	0.021516
expt_seq	0xf0	1.6GHz	1000	2	0.021332
expt_seq	0xf0	1.6GHz	1000	2	0.021789
expt_seq	0xf0	1.6GHz	1000	4	0.021992
expt_seq	0xf0	1.6GHz	1000	4	0.021964
expt_seq	0xf0	1.6GHz	1000	4	0.021471
expt_seq	0xf0	1.6GHz	1000	4	0.022389
expt_seq	0xf0	1.6GHz	1000	4	0.023656
expt_seq	0xf0	1.6GHz	1000	8	0.019488
expt_seq	0xf0	1.6GHz	1000	8	0.024756
expt_seq	0xf0	1.6GHz	1000	8	0.021199
expt_seq	0xf0	1.6GHz	1000	8	0.020391
expt_seq	0xf0	1.6GHz	1000	8	0.022131
expt_seq	0xf0	1.6GHz	1000	16	0.018332
expt_seq	0xf0	1.6GHz	1000	16	0.018503
expt_seq	0xf0	1.6GHz	1000	16	0.018513
expt_seq	0xf0	1.6GHz	1000	16	0.018359
expt_seq	0xf0	1.6GHz	1000	16	0.019017
expt_seq	0xf0	1.6GHz	1000	32	0.017111
expt_seq	0xf0	1.6GHz	1000	32	0.017166
expt_seq	0xf0	1.6GHz	1000	32	0.017583
expt_seq	0xf0	1.6GHz	1000	32	0.018515
expt_seq	0xf0	1.6GHz	1000	32	0.018515
expt_seq	0xf0	1.6GHz	1000	64	0.015397
expt_seq	0xf0	1.6GHz	1000	64	0.015529
expt_seq	0xf0	1.6GHz	1000	64	0.015994
expt_seq	0xf0	1.6GHz	1000	64	0.015544
expt_seq	0xf0	1.6GHz	1000	64	0.015974
expt_seq	0xf0	1.6GHz	1000	128	0.017744
expt_seq	0xf0	1.6GHz	1000	128	0.015797
expt_seq	0xf0	1.6GHz	1000	128	0.01531
expt_seq	0xf0	1.6GHz	1000	128	0.015849
expt_seq	0xf0	1.6GHz	1000	128	0.015833
expt_seq	0xf0	1.6GHz	1000	256	0.015583
expt_seq	0xf0	1.6GHz	1000	256	0.015437
expt_seq	0xf0	1.6GHz	1000	256	0.015907
expt_seq	0xf0	1.6GHz	1000	256	0.015138
expt_seq	0xf0	1.6GHz	1000	256	0.016507
expt_seq	0xf0	1.6GHz	1000	512	0.015275
expt_seq	0xf0	1.6GHz	1000	512	0.015846
expt_seq	0xf0	1.6GHz	1000	512	0.015291
expt_seq	0xf0	1.6GHz	1000	512	0.015626
expt_seq	0xf0	1.6GHz	1000	512	0.015561
expt_seq	0xf0	1.6GHz	10000	2	0.127399
expt_seq	0xf0	1.6GHz	10000	2	0.139179
expt_seq	0xf0	1.6GHz	10000	2	0.132967
expt_seq	0xf0	1.6GHz	10000	2	0.133807
expt_seq	0xf0	1.6GHz	10000	2	0.136464
