array_type	config	frequency	array_size	lower_limit	elapsed_time
expt_seq	0xff	1.6GHz	10	2	0.009978
expt_seq	0xff	1.6GHz	10	2	0.009606
expt_seq	0xff	1.6GHz	10	2	0.00952
expt_seq	0xff	1.6GHz	10	2	0.009516
expt_seq	0xff	1.6GHz	10	2	0.01033
expt_seq	0xff	1.6GHz	10	4	0.009653
expt_seq	0xff	1.6GHz	10	4	0.009608
expt_seq	0xff	1.6GHz	10	4	0.009688
expt_seq	0xff	1.6GHz	10	4	0.009413
expt_seq	0xff	1.6GHz	10	4	0.009855
expt_seq	0xff	1.6GHz	10	8	0.00942
expt_seq	0xff	1.6GHz	10	8	0.009232
expt_seq	0xff	1.6GHz	10	8	0.009328
expt_seq	0xff	1.6GHz	10	8	0.009892
expt_seq	0xff	1.6GHz	10	8	0.01717
expt_seq	0xff	1.6GHz	100	2	0.011244
expt_seq	0xff	1.6GHz	100	2	0.011306
expt_seq	0xff	1.6GHz	100	2	0.011076
expt_seq	0xff	1.6GHz	100	2	0.011087
expt_seq	0xff	1.6GHz	100	2	0.01105
expt_seq	0xff	1.6GHz	100	4	0.01111
expt_seq	0xff	1.6GHz	100	4	0.011667
expt_seq	0xff	1.6GHz	100	4	0.012234
expt_seq	0xff	1.6GHz	100	4	0.01119
expt_seq	0xff	1.6GHz	100	4	0.012358
expt_seq	0xff	1.6GHz	100	8	0.010842
expt_seq	0xff	1.6GHz	100	8	0.011645
expt_seq	0xff	1.6GHz	100	8	0.010631
expt_seq	0xff	1.6GHz	100	8	0.011397
expt_seq	0xff	1.6GHz	100	8	0.010932
expt_seq	0xff	1.6GHz	100	16	0.010467
expt_seq	0xff	1.6GHz	100	16	0.010133
expt_seq	0xff	1.6GHz	100	16	0.010443
expt_seq	0xff	1.6GHz	100	16	0.01032
expt_seq	0xff	1.6GHz	100	16	0.013736
expt_seq	0xff	1.6GHz	100	32	0.010392
expt_seq	0xff	1.6GHz	100	32	0.00995
expt_seq	0xff	1.6GHz	100	32	0.009901
expt_seq	0xff	1.6GHz	100	32	0.010132
expt_seq	0xff	1.6GHz	100	32	0.01384
expt_seq	0xff	1.6GHz	100	64	0.009887
expt_seq	0xff	1.6GHz	100	64	0.009979
expt_seq	0xff	1.6GHz	100	64	0.01235
expt_seq	0xff	1.6GHz	100	64	0.010081
expt_seq	0xff	1.6GHz	100	64	0.009802
expt_seq	0xff	1.6GHz	1000	2	0.024232
expt_seq	0xff	1.6GHz	1000	2	0.028855
expt_seq	0xff	1.6GHz	1000	2	0.031297
expt_seq	0xff	1.6GHz	1000	2	0.032442
expt_seq	0xff	1.6GHz	1000	2	0.031448
expt_seq	0xff	1.6GHz	1000	4	0.024377
expt_seq	0xff	1.6GHz	1000	4	0.021765
expt_seq	0xff	1.6GHz	1000	4	0.026703
