array_type	config	frequency	array_size	lower_limit	elapsed_time
random_seq	0x0f	1.8GHz	10	2	0.018821
random_seq	0x0f	1.8GHz	10	2	0.01891
random_seq	0x0f	1.8GHz	10	2	0.018862
random_seq	0x0f	1.8GHz	10	2	0.018796
random_seq	0x0f	1.8GHz	10	2	0.018743
random_seq	0x0f	1.8GHz	10	4	0.020612
random_seq	0x0f	1.8GHz	10	4	0.022812
random_seq	0x0f	1.8GHz	10	4	0.023143
random_seq	0x0f	1.8GHz	10	4	0.022636
random_seq	0x0f	1.8GHz	10	4	0.018726
random_seq	0x0f	1.8GHz	10	8	0.022286
random_seq	0x0f	1.8GHz	10	8	0.018814
random_seq	0x0f	1.8GHz	10	8	0.022668
random_seq	0x0f	1.8GHz	10	8	0.020854
random_seq	0x0f	1.8GHz	10	8	0.01885
random_seq	0x0f	1.8GHz	100	2	0.02213
random_seq	0x0f	1.8GHz	100	2	0.021887
random_seq	0x0f	1.8GHz	100	2	0.022128
random_seq	0x0f	1.8GHz	100	2	0.025478
random_seq	0x0f	1.8GHz	100	2	0.025945
random_seq	0x0f	1.8GHz	100	4	0.021861
random_seq	0x0f	1.8GHz	100	4	0.025404
random_seq	0x0f	1.8GHz	100	4	0.025422
random_seq	0x0f	1.8GHz	100	4	0.021773
random_seq	0x0f	1.8GHz	100	4	0.021907
random_seq	0x0f	1.8GHz	100	8	0.021644
random_seq	0x0f	1.8GHz	100	8	0.024224
random_seq	0x0f	1.8GHz	100	8	0.025741
random_seq	0x0f	1.8GHz	100	8	0.021502
random_seq	0x0f	1.8GHz	100	8	0.021532
random_seq	0x0f	1.8GHz	100	16	0.02101
random_seq	0x0f	1.8GHz	100	16	0.021112
random_seq	0x0f	1.8GHz	100	16	0.021032
random_seq	0x0f	1.8GHz	100	16	0.021131
random_seq	0x0f	1.8GHz	100	16	0.02571
random_seq	0x0f	1.8GHz	100	32	0.022308
random_seq	0x0f	1.8GHz	100	32	0.02031
random_seq	0x0f	1.8GHz	100	32	0.020311
random_seq	0x0f	1.8GHz	100	32	0.020272
random_seq	0x0f	1.8GHz	100	32	0.023524
random_seq	0x0f	1.8GHz	100	64	0.01943
random_seq	0x0f	1.8GHz	100	64	0.019606
random_seq	0x0f	1.8GHz	100	64	0.019606
random_seq	0x0f	1.8GHz	100	64	0.019508
random_seq	0x0f	1.8GHz	100	64	0.019439
random_seq	0x0f	1.8GHz	1000	2	0.044702
random_seq	0x0f	1.8GHz	1000	2	0.048532
random_seq	0x0f	1.8GHz	1000	2	0.044299
random_seq	0x0f	1.8GHz	1000	2	0.049249
random_seq	0x0f	1.8GHz	1000	2	0.044041
random_seq	0x0f	1.8GHz	1000	4	0.042804
random_seq	0x0f	1.8GHz	1000	4	0.045225
random_seq	0x0f	1.8GHz	1000	4	0.046188
random_seq	0x0f	1.8GHz	1000	4	0.051368
random_seq	0x0f	1.8GHz	1000	4	0.042841
random_seq	0x0f	1.8GHz	1000	8	0.04527
random_seq	0x0f	1.8GHz	1000	8	0.039181
random_seq	0x0f	1.8GHz	1000	8	0.045204
random_seq	0x0f	1.8GHz	1000	8	0.045904
random_seq	0x0f	1.8GHz	1000	8	0.039335
random_seq	0x0f	1.8GHz	1000	16	0.039144
random_seq	0x0f	1.8GHz	1000	16	0.036215
random_seq	0x0f	1.8GHz	1000	16	0.03755
random_seq	0x0f	1.8GHz	1000	16	0.039619
random_seq	0x0f	1.8GHz	1000	16	0.044149
random_seq	0x0f	1.8GHz	1000	32	0.036172
random_seq	0x0f	1.8GHz	1000	32	0.032283
random_seq	0x0f	1.8GHz	1000	32	0.032238
random_seq	0x0f	1.8GHz	1000	32	0.036347
random_seq	0x0f	1.8GHz	1000	32	0.032859
random_seq	0x0f	1.8GHz	1000	64	0.033886
random_seq	0x0f	1.8GHz	1000	64	0.040215
random_seq	0x0f	1.8GHz	1000	64	0.036127
random_seq	0x0f	1.8GHz	1000	64	0.040376
random_seq	0x0f	1.8GHz	1000	64	0.034091
random_seq	0x0f	1.8GHz	1000	128	0.033542
random_seq	0x0f	1.8GHz	1000	128	0.032534
random_seq	0x0f	1.8GHz	1000	128	0.032898
random_seq	0x0f	1.8GHz	1000	128	0.032424
random_seq	0x0f	1.8GHz	1000	128	0.032405
random_seq	0x0f	1.8GHz	1000	256	0.037022
random_seq	0x0f	1.8GHz	1000	256	0.037566
random_seq	0x0f	1.8GHz	1000	256	0.032501
random_seq	0x0f	1.8GHz	1000	256	0.032335
random_seq	0x0f	1.8GHz	1000	256	0.035949
random_seq	0x0f	1.8GHz	1000	512	0.032477
random_seq	0x0f	1.8GHz	1000	512	0.032518
random_seq	0x0f	1.8GHz	1000	512	0.032517
random_seq	0x0f	1.8GHz	1000	512	0.032387
random_seq	0x0f	1.8GHz	1000	512	0.03266
random_seq	0x0f	1.8GHz	10000	2	0.308517
random_seq	0x0f	1.8GHz	10000	2	0.29589
random_seq	0x0f	1.8GHz	10000	2	0.297117
random_seq	0x0f	1.8GHz	10000	2	0.296564
random_seq	0x0f	1.8GHz	10000	2	0.301933
random_seq	0x0f	1.8GHz	10000	4	0.292199
random_seq	0x0f	1.8GHz	10000	4	0.292428
random_seq	0x0f	1.8GHz	10000	4	0.287739
random_seq	0x0f	1.8GHz	10000	4	0.289893
random_seq	0x0f	1.8GHz	10000	4	0.304686
random_seq	0x0f	1.8GHz	10000	8	0.250233
random_seq	0x0f	1.8GHz	10000	8	0.257105
random_seq	0x0f	1.8GHz	10000	8	0.252763
random_seq	0x0f	1.8GHz	10000	8	0.253471
random_seq	0x0f	1.8GHz	10000	8	0.250741
random_seq	0x0f	1.8GHz	10000	16	0.208539
random_seq	0x0f	1.8GHz	10000	16	0.213538
random_seq	0x0f	1.8GHz	10000	16	0.205805
random_seq	0x0f	1.8GHz	10000	16	0.210652
random_seq	0x0f	1.8GHz	10000	16	0.205055
random_seq	0x0f	1.8GHz	10000	32	0.183598
random_seq	0x0f	1.8GHz	10000	32	0.187741
random_seq	0x0f	1.8GHz	10000	32	0.189508
random_seq	0x0f	1.8GHz	10000	32	0.189917
random_seq	0x0f	1.8GHz	10000	32	0.18849
random_seq	0x0f	1.8GHz	10000	64	0.172346
random_seq	0x0f	1.8GHz	10000	64	0.173371
random_seq	0x0f	1.8GHz	10000	64	0.169902
random_seq	0x0f	1.8GHz	10000	64	0.175509
random_seq	0x0f	1.8GHz	10000	64	0.174179
random_seq	0x0f	1.8GHz	10000	128	0.166564
random_seq	0x0f	1.8GHz	10000	128	0.161206
random_seq	0x0f	1.8GHz	10000	128	0.160447
random_seq	0x0f	1.8GHz	10000	128	0.16661
random_seq	0x0f	1.8GHz	10000	128	0.163015
random_seq	0x0f	1.8GHz	10000	256	0.159766
random_seq	0x0f	1.8GHz	10000	256	0.16067
random_seq	0x0f	1.8GHz	10000	256	0.162034
random_seq	0x0f	1.8GHz	10000	256	0.16185
random_seq	0x0f	1.8GHz	10000	256	0.160486
random_seq	0x0f	1.8GHz	10000	512	0.164169
random_seq	0x0f	1.8GHz	10000	512	0.16283
random_seq	0x0f	1.8GHz	10000	512	0.166616
random_seq	0x0f	1.8GHz	10000	512	0.165768
random_seq	0x0f	1.8GHz	10000	512	0.162756
random_seq	0x0f	1.8GHz	10000	1024	0.173364
random_seq	0x0f	1.8GHz	10000	1024	0.173894
random_seq	0x0f	1.8GHz	10000	1024	0.187302
random_seq	0x0f	1.8GHz	10000	1024	0.176132
random_seq	0x0f	1.8GHz	10000	1024	0.186657
random_seq	0x0f	1.8GHz	10000	2048	0.275236
random_seq	0x0f	1.8GHz	10000	2048	0.268393
random_seq	0x0f	1.8GHz	10000	2048	0.260775
random_seq	0x0f	1.8GHz	10000	2048	0.26183
random_seq	0x0f	1.8GHz	10000	2048	0.2432
random_seq	0x0f	1.8GHz	10000	4096	0.328972
random_seq	0x0f	1.8GHz	10000	4096	0.327287
random_seq	0x0f	1.8GHz	10000	4096	0.31985
random_seq	0x0f	1.8GHz	10000	4096	0.311483
random_seq	0x0f	1.8GHz	10000	4096	0.326893
random_seq	0x0f	1.8GHz	10000	8192	1.740012
random_seq	0x0f	1.8GHz	10000	8192	1.730054
random_seq	0x0f	1.8GHz	10000	8192	1.746003
random_seq	0x0f	1.8GHz	10000	8192	1.729235
random_seq	0x0f	1.8GHz	10000	8192	1.72911
random_seq	0x0f	1.8GHz	100000	2	3.609809
random_seq	0x0f	1.8GHz	100000	2	3.58172
random_seq	0x0f	1.8GHz	100000	2	3.56895
random_seq	0x0f	1.8GHz	100000	2	3.558356
random_seq	0x0f	1.8GHz	100000	2	3.524717
random_seq	0x0f	1.8GHz	100000	4	3.462542
random_seq	0x0f	1.8GHz	100000	4	3.460469
random_seq	0x0f	1.8GHz	100000	4	3.467981
random_seq	0x0f	1.8GHz	100000	4	3.463738
random_seq	0x0f	1.8GHz	100000	4	3.483589
random_seq	0x0f	1.8GHz	100000	8	3.092662
random_seq	0x0f	1.8GHz	100000	8	3.099705
random_seq	0x0f	1.8GHz	100000	8	3.082147
random_seq	0x0f	1.8GHz	100000	8	3.090169
random_seq	0x0f	1.8GHz	100000	8	3.073443
random_seq	0x0f	1.8GHz	100000	16	2.631285
random_seq	0x0f	1.8GHz	100000	16	2.656138
random_seq	0x0f	1.8GHz	100000	16	2.643088
random_seq	0x0f	1.8GHz	100000	16	2.651602
random_seq	0x0f	1.8GHz	100000	16	2.636076
random_seq	0x0f	1.8GHz	100000	32	2.344629
random_seq	0x0f	1.8GHz	100000	32	2.340682
random_seq	0x0f	1.8GHz	100000	32	2.335732
random_seq	0x0f	1.8GHz	100000	32	2.409131
random_seq	0x0f	1.8GHz	100000	32	2.37516
random_seq	0x0f	1.8GHz	100000	64	2.180574
random_seq	0x0f	1.8GHz	100000	64	2.152555
random_seq	0x0f	1.8GHz	100000	64	2.197075
random_seq	0x0f	1.8GHz	100000	64	2.189768
random_seq	0x0f	1.8GHz	100000	64	2.165288
random_seq	0x0f	1.8GHz	100000	128	2.04743
random_seq	0x0f	1.8GHz	100000	128	2.080886
random_seq	0x0f	1.8GHz	100000	128	2.050552
random_seq	0x0f	1.8GHz	100000	128	2.053669
random_seq	0x0f	1.8GHz	100000	128	2.149832
random_seq	0x0f	1.8GHz	100000	256	2.03835
random_seq	0x0f	1.8GHz	100000	256	2.074476
random_seq	0x0f	1.8GHz	100000	256	2.015185
random_seq	0x0f	1.8GHz	100000	256	2.073496
random_seq	0x0f	1.8GHz	100000	256	2.066245
random_seq	0x0f	1.8GHz	100000	512	2.036296
random_seq	0x0f	1.8GHz	100000	512	2.107207
random_seq	0x0f	1.8GHz	100000	512	2.062237
random_seq	0x0f	1.8GHz	100000	512	2.133702
random_seq	0x0f	1.8GHz	100000	512	2.060017
random_seq	0x0f	1.8GHz	100000	1024	2.296071
random_seq	0x0f	1.8GHz	100000	1024	2.259279
random_seq	0x0f	1.8GHz	100000	1024	2.228873
random_seq	0x0f	1.8GHz	100000	1024	2.253383
random_seq	0x0f	1.8GHz	100000	1024	2.228876
random_seq	0x0f	1.8GHz	100000	2048	2.66953
random_seq	0x0f	1.8GHz	100000	2048	2.721722
random_seq	0x0f	1.8GHz	100000	2048	2.647244
random_seq	0x0f	1.8GHz	100000	2048	2.671634
random_seq	0x0f	1.8GHz	100000	2048	2.721424
random_seq	0x0f	1.8GHz	100000	4096	3.915433
random_seq	0x0f	1.8GHz	100000	4096	3.90759
random_seq	0x0f	1.8GHz	100000	4096	3.937734
random_seq	0x0f	1.8GHz	100000	4096	3.960243
random_seq	0x0f	1.8GHz	100000	4096	3.989046
random_seq	0x0f	1.8GHz	100000	8192	6.86906
random_seq	0x0f	1.8GHz	100000	8192	6.909597
random_seq	0x0f	1.8GHz	100000	8192	6.838265
random_seq	0x0f	1.8GHz	100000	8192	7.163758
random_seq	0x0f	1.8GHz	100000	8192	7.062513
random_seq	0x0f	1.8GHz	100000	16384	16.519102
random_seq	0x0f	1.8GHz	100000	16384	16.685353
random_seq	0x0f	1.8GHz	100000	16384	16.364265
random_seq	0x0f	1.8GHz	100000	16384	16.168133
random_seq	0x0f	1.8GHz	100000	16384	16.791821
random_seq	0x0f	1.8GHz	100000	32768	40.152379
random_seq	0x0f	1.8GHz	100000	32768	40.755144
random_seq	0x0f	1.8GHz	100000	32768	41.331412
random_seq	0x0f	1.8GHz	100000	32768	40.715163
random_seq	0x0f	1.8GHz	100000	32768	40.904848
random_seq	0x0f	1.8GHz	100000	65536	141.02064
random_seq	0x0f	1.8GHz	100000	65536	141.059244
random_seq	0x0f	1.8GHz	100000	65536	141.063661
random_seq	0x0f	1.8GHz	100000	65536	140.939519
random_seq	0x0f	1.8GHz	100000	65536	140.991386
