array_type	config	frequency	array_size	lower_limit	elapsed_time
random_seq	0x60	1.6GHz	10	2	0.010147
random_seq	0x60	1.6GHz	10	2	0.010046
random_seq	0x60	1.6GHz	10	2	0.010069
random_seq	0x60	1.6GHz	10	2	0.00969
random_seq	0x60	1.6GHz	10	2	0.009521
random_seq	0x60	1.6GHz	10	4	0.009982
random_seq	0x60	1.6GHz	10	4	0.009812
random_seq	0x60	1.6GHz	10	4	0.009968
random_seq	0x60	1.6GHz	10	4	0.01171
random_seq	0x60	1.6GHz	10	4	0.009703
random_seq	0x60	1.6GHz	10	8	0.010926
random_seq	0x60	1.6GHz	10	8	0.009373
random_seq	0x60	1.6GHz	10	8	0.009789
random_seq	0x60	1.6GHz	10	8	0.009309
random_seq	0x60	1.6GHz	10	8	0.009723
random_seq	0x60	1.6GHz	100	2	0.013931
random_seq	0x60	1.6GHz	100	2	0.013883
random_seq	0x60	1.6GHz	100	2	0.013934
random_seq	0x60	1.6GHz	100	2	0.013742
random_seq	0x60	1.6GHz	100	2	0.013748
random_seq	0x60	1.6GHz	100	4	0.013626
random_seq	0x60	1.6GHz	100	4	0.013011
random_seq	0x60	1.6GHz	100	4	0.014659
random_seq	0x60	1.6GHz	100	4	0.012928
random_seq	0x60	1.6GHz	100	4	0.013182
random_seq	0x60	1.6GHz	100	8	0.013696
random_seq	0x60	1.6GHz	100	8	0.012737
random_seq	0x60	1.6GHz	100	8	0.012281
random_seq	0x60	1.6GHz	100	8	0.012482
random_seq	0x60	1.6GHz	100	8	0.012528
random_seq	0x60	1.6GHz	100	16	0.010731
random_seq	0x60	1.6GHz	100	16	0.012754
random_seq	0x60	1.6GHz	100	16	0.011122
random_seq	0x60	1.6GHz	100	16	0.011664
random_seq	0x60	1.6GHz	100	16	0.011342
random_seq	0x60	1.6GHz	100	32	0.010459
random_seq	0x60	1.6GHz	100	32	0.010674
random_seq	0x60	1.6GHz	100	32	0.010688
random_seq	0x60	1.6GHz	100	32	0.012018
random_seq	0x60	1.6GHz	100	32	0.01051
