array_type	config	frequency	array_size	lower_limit	elapsed_time
random_seq	0xf0	1.8GHz	10	2	0.010743
random_seq	0xf0	1.8GHz	10	2	0.010287
random_seq	0xf0	1.8GHz	10	2	0.010175
random_seq	0xf0	1.8GHz	10	2	0.009647
random_seq	0xf0	1.8GHz	10	2	0.010144
random_seq	0xf0	1.8GHz	10	4	0.00964
random_seq	0xf0	1.8GHz	10	4	0.00917
random_seq	0xf0	1.8GHz	10	4	0.009936
random_seq	0xf0	1.8GHz	10	4	0.009859
random_seq	0xf0	1.8GHz	10	4	0.009961
random_seq	0xf0	1.8GHz	10	8	0.009556
random_seq	0xf0	1.8GHz	10	8	0.010039
random_seq	0xf0	1.8GHz	10	8	0.00989
random_seq	0xf0	1.8GHz	10	8	0.010012
random_seq	0xf0	1.8GHz	10	8	0.009626
random_seq	0xf0	1.8GHz	100	2	0.012583
random_seq	0xf0	1.8GHz	100	2	0.013253
random_seq	0xf0	1.8GHz	100	2	0.012007
random_seq	0xf0	1.8GHz	100	2	0.011962
random_seq	0xf0	1.8GHz	100	2	0.01334
random_seq	0xf0	1.8GHz	100	4	0.011616
random_seq	0xf0	1.8GHz	100	4	0.011474
random_seq	0xf0	1.8GHz	100	4	0.012077
random_seq	0xf0	1.8GHz	100	4	0.013305
random_seq	0xf0	1.8GHz	100	4	0.013142
random_seq	0xf0	1.8GHz	100	8	0.011785
random_seq	0xf0	1.8GHz	100	8	0.011762
random_seq	0xf0	1.8GHz	100	8	0.011382
random_seq	0xf0	1.8GHz	100	8	0.011587
random_seq	0xf0	1.8GHz	100	8	0.011713
random_seq	0xf0	1.8GHz	100	16	0.011426
random_seq	0xf0	1.8GHz	100	16	0.0113
random_seq	0xf0	1.8GHz	100	16	0.011046
random_seq	0xf0	1.8GHz	100	16	0.011317
random_seq	0xf0	1.8GHz	100	16	0.01285
random_seq	0xf0	1.8GHz	100	32	0.012037
random_seq	0xf0	1.8GHz	100	32	0.010857
random_seq	0xf0	1.8GHz	100	32	0.010326
random_seq	0xf0	1.8GHz	100	32	0.010139
random_seq	0xf0	1.8GHz	100	32	0.010389
random_seq	0xf0	1.8GHz	100	64	0.011544
random_seq	0xf0	1.8GHz	100	64	0.010355
random_seq	0xf0	1.8GHz	100	64	0.010145
random_seq	0xf0	1.8GHz	100	64	0.010064
random_seq	0xf0	1.8GHz	100	64	0.010956
random_seq	0xf0	1.8GHz	1000	2	0.027275
random_seq	0xf0	1.8GHz	1000	2	0.027874
random_seq	0xf0	1.8GHz	1000	2	0.035693
random_seq	0xf0	1.8GHz	1000	2	0.027556
random_seq	0xf0	1.8GHz	1000	2	0.027722
