array_type	config	frequency	array_size	lower_limit	elapsed_time
random_seq	0xff	1.8GHz	10	2	0.00944
random_seq	0xff	1.8GHz	10	2	0.009752
random_seq	0xff	1.8GHz	10	2	0.009382
random_seq	0xff	1.8GHz	10	2	0.009486
random_seq	0xff	1.8GHz	10	2	0.009343
random_seq	0xff	1.8GHz	10	4	0.009604
random_seq	0xff	1.8GHz	10	4	0.009344
random_seq	0xff	1.8GHz	10	4	0.009293
random_seq	0xff	1.8GHz	10	4	0.009815
random_seq	0xff	1.8GHz	10	4	0.00929
random_seq	0xff	1.8GHz	10	8	0.009466
random_seq	0xff	1.8GHz	10	8	0.009314
random_seq	0xff	1.8GHz	10	8	0.00932
random_seq	0xff	1.8GHz	10	8	0.00952
random_seq	0xff	1.8GHz	10	8	0.009173
random_seq	0xff	1.8GHz	100	2	0.011241
random_seq	0xff	1.8GHz	100	2	0.011252
random_seq	0xff	1.8GHz	100	2	0.011413
random_seq	0xff	1.8GHz	100	2	0.011245
random_seq	0xff	1.8GHz	100	2	0.011156
random_seq	0xff	1.8GHz	100	4	0.011771
random_seq	0xff	1.8GHz	100	4	0.012238
random_seq	0xff	1.8GHz	100	4	0.011352
random_seq	0xff	1.8GHz	100	4	0.011969
random_seq	0xff	1.8GHz	100	4	0.011189
random_seq	0xff	1.8GHz	100	8	0.011067
random_seq	0xff	1.8GHz	100	8	0.012194
random_seq	0xff	1.8GHz	100	8	0.012458
random_seq	0xff	1.8GHz	100	8	0.011969
random_seq	0xff	1.8GHz	100	8	0.011964
random_seq	0xff	1.8GHz	100	16	0.01233
random_seq	0xff	1.8GHz	100	16	0.010589
random_seq	0xff	1.8GHz	100	16	0.010504
random_seq	0xff	1.8GHz	100	16	0.010601
random_seq	0xff	1.8GHz	100	16	0.010475
random_seq	0xff	1.8GHz	100	32	0.011144
random_seq	0xff	1.8GHz	100	32	0.011525
random_seq	0xff	1.8GHz	100	32	0.009779
random_seq	0xff	1.8GHz	100	32	0.009945
random_seq	0xff	1.8GHz	100	32	0.009808
random_seq	0xff	1.8GHz	100	64	0.010583
random_seq	0xff	1.8GHz	100	64	0.009855
random_seq	0xff	1.8GHz	100	64	0.009956
random_seq	0xff	1.8GHz	100	64	0.010295
random_seq	0xff	1.8GHz	100	64	0.009906
random_seq	0xff	1.8GHz	1000	2	0.032731
random_seq	0xff	1.8GHz	1000	2	0.025518
random_seq	0xff	1.8GHz	1000	2	0.026823
random_seq	0xff	1.8GHz	1000	2	0.028459
random_seq	0xff	1.8GHz	1000	2	0.029616
random_seq	0xff	1.8GHz	1000	4	0.025604
random_seq	0xff	1.8GHz	1000	4	0.026961
random_seq	0xff	1.8GHz	1000	4	0.028853
random_seq	0xff	1.8GHz	1000	4	0.026782
random_seq	0xff	1.8GHz	1000	4	0.025104
random_seq	0xff	1.8GHz	1000	8	0.023876
random_seq	0xff	1.8GHz	1000	8	0.032315
random_seq	0xff	1.8GHz	1000	8	0.024284
random_seq	0xff	1.8GHz	1000	8	0.026045
random_seq	0xff	1.8GHz	1000	8	0.036872
random_seq	0xff	1.8GHz	1000	16	0.020921
random_seq	0xff	1.8GHz	1000	16	0.027019
random_seq	0xff	1.8GHz	1000	16	0.023835
random_seq	0xff	1.8GHz	1000	16	0.025959
random_seq	0xff	1.8GHz	1000	16	0.024839
random_seq	0xff	1.8GHz	1000	32	0.022401
random_seq	0xff	1.8GHz	1000	32	0.02089
random_seq	0xff	1.8GHz	1000	32	0.020172
random_seq	0xff	1.8GHz	1000	32	0.022985
random_seq	0xff	1.8GHz	1000	32	0.019876
random_seq	0xff	1.8GHz	1000	64	0.016786
random_seq	0xff	1.8GHz	1000	64	0.017559
random_seq	0xff	1.8GHz	1000	64	0.017017
random_seq	0xff	1.8GHz	1000	64	0.017452
random_seq	0xff	1.8GHz	1000	64	0.016745
random_seq	0xff	1.8GHz	1000	128	0.015409
random_seq	0xff	1.8GHz	1000	128	0.018599
random_seq	0xff	1.8GHz	1000	128	0.015306
random_seq	0xff	1.8GHz	1000	128	0.015451
random_seq	0xff	1.8GHz	1000	128	0.015685
random_seq	0xff	1.8GHz	1000	256	0.01566
random_seq	0xff	1.8GHz	1000	256	0.015744
random_seq	0xff	1.8GHz	1000	256	0.0152
random_seq	0xff	1.8GHz	1000	256	0.014969
