array_type	config	frequency	array_size	elapsed_time
random_seq	0x09	1.6GHz	10	2	0.019102
random_seq	0x09	1.6GHz	10	4	0.018965
random_seq	0x09	1.6GHz	10	8	0.018468
random_seq	0x09	1.6GHz	100	2	0.024764
random_seq	0x09	1.6GHz	100	4	0.02453
random_seq	0x09	1.6GHz	100	8	0.0231
random_seq	0x09	1.6GHz	100	16	0.021611
random_seq	0x09	1.6GHz	100	32	0.024563
random_seq	0x09	1.6GHz	100	64	0.019188
random_seq	0x09	1.6GHz	1000	2	0.076911
random_seq	0x09	1.6GHz	1000	4	0.069117
random_seq	0x09	1.6GHz	1000	8	0.056061
random_seq	0x09	1.6GHz	1000	16	0.048248
random_seq	0x09	1.6GHz	1000	32	0.039323
random_seq	0x09	1.6GHz	1000	64	0.035358
random_seq	0x09	1.6GHz	1000	128	0.034935
random_seq	0x09	1.6GHz	1000	256	0.033033
random_seq	0x09	1.6GHz	1000	512	0.035767
random_seq	0x09	1.6GHz	10000	2	0.702105
random_seq	0x09	1.6GHz	10000	4	0.621322
random_seq	0x09	1.6GHz	10000	8	0.486334
random_seq	0x09	1.6GHz	10000	16	0.381223
random_seq	0x09	1.6GHz	10000	32	0.318928
random_seq	0x09	1.6GHz	10000	64	0.274864
random_seq	0x09	1.6GHz	10000	128	0.244134
random_seq	0x09	1.6GHz	10000	256	0.22395
random_seq	0x09	1.6GHz	10000	512	0.231791
random_seq	0x09	1.6GHz	10000	1024	0.264989
random_seq	0x09	1.6GHz	10000	2048	0.385121
random_seq	0x09	1.6GHz	10000	4096	0.812665
random_seq	0x09	1.6GHz	10000	8192	1.739081
random_seq	0x09	1.6GHz	20000	2	1.461329
random_seq	0x09	1.6GHz	20000	4	1.306275
random_seq	0x09	1.6GHz	20000	8	1.023051
random_seq	0x09	1.6GHz	20000	16	0.819173
random_seq	0x09	1.6GHz	20000	32	0.686055
random_seq	0x09	1.6GHz	20000	64	0.59891
random_seq	0x09	1.6GHz	20000	128	0.544135
random_seq	0x09	1.6GHz	20000	256	0.51513
random_seq	0x09	1.6GHz	20000	512	0.517898
random_seq	0x09	1.6GHz	20000	1024	0.590197
random_seq	0x09	1.6GHz	20000	2048	0.775673
random_seq	0x09	1.6GHz	20000	4096	1.537148
random_seq	0x09	1.6GHz	20000	8192	2.51521
random_seq	0x09	1.6GHz	20000	16384	4.305102
random_seq	0x09	1.6GHz	30000	2	2.286442
random_seq	0x09	1.6GHz	30000	4	2.056021
random_seq	0x09	1.6GHz	30000	8	1.625859
random_seq	0x09	1.6GHz	30000	16	1.333044
random_seq	0x09	1.6GHz	30000	32	1.117696
random_seq	0x09	1.6GHz	30000	64	0.957598
random_seq	0x09	1.6GHz	30000	128	0.880132
random_seq	0x09	1.6GHz	30000	256	0.846168
random_seq	0x09	1.6GHz	30000	512	0.862948
random_seq	0x09	1.6GHz	30000	1024	0.989073
random_seq	0x09	1.6GHz	30000	2048	1.39557
random_seq	0x09	1.6GHz	30000	4096	2.076201
random_seq	0x09	1.6GHz	30000	8192	4.423152
random_seq	0x09	1.6GHz	30000	16384	8.749973
random_seq	0x09	1.6GHz	40000	2	3.124855
random_seq	0x09	1.6GHz	40000	4	2.80419
random_seq	0x09	1.6GHz	40000	8	2.241583
random_seq	0x09	1.6GHz	40000	16	1.794849
random_seq	0x09	1.6GHz	40000	32	1.55199
random_seq	0x09	1.6GHz	40000	64	1.346031
random_seq	0x09	1.6GHz	40000	128	1.259986
random_seq	0x09	1.6GHz	40000	256	1.212345
random_seq	0x09	1.6GHz	40000	512	1.205648
random_seq	0x09	1.6GHz	40000	1024	1.331783
random_seq	0x09	1.6GHz	40000	2048	1.802789
random_seq	0x09	1.6GHz	40000	4096	3.121189
random_seq	0x09	1.6GHz	40000	8192	5.75699
random_seq	0x09	1.6GHz	40000	16384	11.084846
random_seq	0x09	1.6GHz	40000	32768	39.77784
random_seq	0x09	1.6GHz	50000	2	3.990836
random_seq	0x09	1.6GHz	50000	4	3.614049
random_seq	0x09	1.6GHz	50000	8	2.880983
random_seq	0x09	1.6GHz	50000	16	2.37235
random_seq	0x09	1.6GHz	50000	32	2.02831
random_seq	0x09	1.6GHz	50000	64	1.811586
random_seq	0x09	1.6GHz	50000	128	1.645017
random_seq	0x09	1.6GHz	50000	256	1.602586
random_seq	0x09	1.6GHz	50000	512	1.617403
random_seq	0x09	1.6GHz	50000	1024	1.767275
random_seq	0x09	1.6GHz	50000	2048	2.306892
