array_type	config	frequency	array_size	elapsed_time
expt_seq	0x0f	1.6GHz	10	0.016065
expt_seq	0x0f	1.6GHz	10	0.018471
expt_seq	0x0f	1.6GHz	10	0.016037
expt_seq	0x0f	1.6GHz	10	0.016309
expt_seq	0x0f	1.6GHz	10	0.015994
expt_seq	0x0f	1.6GHz	100	0.022736
expt_seq	0x0f	1.6GHz	100	0.020838
expt_seq	0x0f	1.6GHz	100	0.018238
expt_seq	0x0f	1.6GHz	100	0.01843
expt_seq	0x0f	1.6GHz	100	0.018469
expt_seq	0x0f	1.6GHz	1000	0.033165
expt_seq	0x0f	1.6GHz	1000	0.032513
expt_seq	0x0f	1.6GHz	1000	0.032919
expt_seq	0x0f	1.6GHz	1000	0.032843
expt_seq	0x0f	1.6GHz	1000	0.03625
expt_seq	0x0f	1.6GHz	10000	0.184842
expt_seq	0x0f	1.6GHz	10000	0.186163
expt_seq	0x0f	1.6GHz	10000	0.187058
expt_seq	0x0f	1.6GHz	10000	0.186421
expt_seq	0x0f	1.6GHz	10000	0.192126
expt_seq	0x0f	1.6GHz	100000	1.990302
expt_seq	0x0f	1.6GHz	100000	1.947703
expt_seq	0x0f	1.6GHz	100000	1.979213
expt_seq	0x0f	1.6GHz	100000	1.960047
expt_seq	0x0f	1.6GHz	100000	1.966368
expt_seq	0x0f	1.6GHz	1000000	20.613844
expt_seq	0x0f	1.6GHz	1000000	20.677678
expt_seq	0x0f	1.6GHz	1000000	20.800016
expt_seq	0x0f	1.6GHz	1000000	20.390769
expt_seq	0x0f	1.6GHz	1000000	20.759596
