array_type	config	frequency	array_size	elapsed_time
expt_seq	0x69	1.8GHz	10	0.008294
expt_seq	0x69	1.8GHz	10	0.010486
expt_seq	0x69	1.8GHz	10	0.00818
expt_seq	0x69	1.8GHz	10	0.008611
expt_seq	0x69	1.8GHz	10	0.00825
expt_seq	0x69	1.8GHz	100	0.011099
expt_seq	0x69	1.8GHz	100	0.017428
expt_seq	0x69	1.8GHz	100	0.012115
expt_seq	0x69	1.8GHz	100	0.010354
expt_seq	0x69	1.8GHz	100	0.010668
expt_seq	0x69	1.8GHz	1000	0.025579
expt_seq	0x69	1.8GHz	1000	0.023825
expt_seq	0x69	1.8GHz	1000	0.027661
expt_seq	0x69	1.8GHz	1000	0.023289
expt_seq	0x69	1.8GHz	1000	0.030095
expt_seq	0x69	1.8GHz	10000	0.138012
expt_seq	0x69	1.8GHz	10000	0.13874
expt_seq	0x69	1.8GHz	10000	0.136312
expt_seq	0x69	1.8GHz	10000	0.131577
expt_seq	0x69	1.8GHz	10000	0.132507
expt_seq	0x69	1.8GHz	100000	1.304454
expt_seq	0x69	1.8GHz	100000	1.270661
expt_seq	0x69	1.8GHz	100000	1.335892
expt_seq	0x69	1.8GHz	100000	1.312468
expt_seq	0x69	1.8GHz	100000	1.257793
expt_seq	0x69	1.8GHz	1000000	13.848452
expt_seq	0x69	1.8GHz	1000000	13.786563
expt_seq	0x69	1.8GHz	1000000	13.655339
expt_seq	0x69	1.8GHz	1000000	13.650156
expt_seq	0x69	1.8GHz	1000000	13.725822
