array_type	config	frequency	array_size	elapsed_time
expt_seq	0xff	1.8GHz	10	0.008667
expt_seq	0xff	1.8GHz	10	0.008222
expt_seq	0xff	1.8GHz	10	0.008381
expt_seq	0xff	1.8GHz	10	0.008666
expt_seq	0xff	1.8GHz	10	0.008426
expt_seq	0xff	1.8GHz	100	0.009988
expt_seq	0xff	1.8GHz	100	0.011556
expt_seq	0xff	1.8GHz	100	0.010521
expt_seq	0xff	1.8GHz	100	0.011287
expt_seq	0xff	1.8GHz	100	0.011772
expt_seq	0xff	1.8GHz	1000	0.025997
expt_seq	0xff	1.8GHz	1000	0.021947
expt_seq	0xff	1.8GHz	1000	0.0239
expt_seq	0xff	1.8GHz	1000	0.027832
expt_seq	0xff	1.8GHz	1000	0.025402
expt_seq	0xff	1.8GHz	10000	0.141786
expt_seq	0xff	1.8GHz	10000	0.120825
expt_seq	0xff	1.8GHz	10000	0.143311
expt_seq	0xff	1.8GHz	10000	0.11986
expt_seq	0xff	1.8GHz	10000	0.135625
expt_seq	0xff	1.8GHz	100000	0.949112
expt_seq	0xff	1.8GHz	100000	0.981362
expt_seq	0xff	1.8GHz	100000	0.93767
expt_seq	0xff	1.8GHz	100000	0.934286
expt_seq	0xff	1.8GHz	100000	1.020701
expt_seq	0xff	1.8GHz	1000000	9.237823
expt_seq	0xff	1.8GHz	1000000	9.330338
expt_seq	0xff	1.8GHz	1000000	9.39701
expt_seq	0xff	1.8GHz	1000000	9.311342
expt_seq	0xff	1.8GHz	1000000	9.237357
