array_type	config	frequency	array_size	elapsed_time
random_seq	0x0f	1.6GHz	10	0.016285
random_seq	0x0f	1.6GHz	10	0.01596
random_seq	0x0f	1.6GHz	10	0.016008
random_seq	0x0f	1.6GHz	10	0.02141
random_seq	0x0f	1.6GHz	10	0.018861
random_seq	0x0f	1.6GHz	100	0.01948
random_seq	0x0f	1.6GHz	100	0.018655
random_seq	0x0f	1.6GHz	100	0.018428
random_seq	0x0f	1.6GHz	100	0.01926
random_seq	0x0f	1.6GHz	100	0.018473
random_seq	0x0f	1.6GHz	1000	0.037718
random_seq	0x0f	1.6GHz	1000	0.04097
random_seq	0x0f	1.6GHz	1000	0.042895
random_seq	0x0f	1.6GHz	1000	0.037446
random_seq	0x0f	1.6GHz	1000	0.037544
random_seq	0x0f	1.6GHz	10000	0.25587
random_seq	0x0f	1.6GHz	10000	0.250753
random_seq	0x0f	1.6GHz	10000	0.252958
random_seq	0x0f	1.6GHz	10000	0.254368
random_seq	0x0f	1.6GHz	10000	0.263645
random_seq	0x0f	1.6GHz	100000	2.788032
random_seq	0x0f	1.6GHz	100000	2.768986
random_seq	0x0f	1.6GHz	100000	2.804221
random_seq	0x0f	1.6GHz	100000	2.859616
random_seq	0x0f	1.6GHz	100000	2.797828
random_seq	0x0f	1.6GHz	1000000	30.154271
random_seq	0x0f	1.6GHz	1000000	30.162713
random_seq	0x0f	1.6GHz	1000000	30.1031
random_seq	0x0f	1.6GHz	1000000	30.540812
random_seq	0x0f	1.6GHz	1000000	29.811581
