array_type	config	frequency	array_size	elapsed_time
random_seq	0x60	1.6GHz	10	0.008319
random_seq	0x60	1.6GHz	10	0.008749
random_seq	0x60	1.6GHz	10	0.009607
random_seq	0x60	1.6GHz	10	0.008481
random_seq	0x60	1.6GHz	10	0.009924
random_seq	0x60	1.6GHz	100	0.010817
random_seq	0x60	1.6GHz	100	0.010413
random_seq	0x60	1.6GHz	100	0.011917
random_seq	0x60	1.6GHz	100	0.011086
random_seq	0x60	1.6GHz	100	0.010705
random_seq	0x60	1.6GHz	1000	0.031987
random_seq	0x60	1.6GHz	1000	0.032202
random_seq	0x60	1.6GHz	1000	0.032573
random_seq	0x60	1.6GHz	1000	0.0329
random_seq	0x60	1.6GHz	1000	0.031997
random_seq	0x60	1.6GHz	10000	0.279259
random_seq	0x60	1.6GHz	10000	0.283173
random_seq	0x60	1.6GHz	10000	0.28591
random_seq	0x60	1.6GHz	10000	0.279681
random_seq	0x60	1.6GHz	10000	0.283053
random_seq	0x60	1.6GHz	100000	3.059051
random_seq	0x60	1.6GHz	100000	3.073292
random_seq	0x60	1.6GHz	100000	3.052204
random_seq	0x60	1.6GHz	100000	3.061838
random_seq	0x60	1.6GHz	100000	3.052854
random_seq	0x60	1.6GHz	1000000	33.42919
random_seq	0x60	1.6GHz	1000000	33.592848
random_seq	0x60	1.6GHz	1000000	33.206342
random_seq	0x60	1.6GHz	1000000	32.812853
random_seq	0x60	1.6GHz	1000000	32.615902
