array_type	config	frequency	array_size	elapsed_time
random_seq	0xff	1.8GHz	10	0.008466
random_seq	0xff	1.8GHz	10	0.008187
random_seq	0xff	1.8GHz	10	0.008536
random_seq	0xff	1.8GHz	10	0.009457
random_seq	0xff	1.8GHz	10	0.008463
random_seq	0xff	1.8GHz	100	0.011268
random_seq	0xff	1.8GHz	100	0.011341
random_seq	0xff	1.8GHz	100	0.010471
random_seq	0xff	1.8GHz	100	0.010948
random_seq	0xff	1.8GHz	100	0.011263
random_seq	0xff	1.8GHz	1000	0.030063
random_seq	0xff	1.8GHz	1000	0.033286
random_seq	0xff	1.8GHz	1000	0.032553
random_seq	0xff	1.8GHz	1000	0.034475
random_seq	0xff	1.8GHz	1000	0.033082
random_seq	0xff	1.8GHz	10000	0.186264
random_seq	0xff	1.8GHz	10000	0.194137
random_seq	0xff	1.8GHz	10000	0.208443
random_seq	0xff	1.8GHz	10000	0.193243
random_seq	0xff	1.8GHz	10000	0.185998
random_seq	0xff	1.8GHz	100000	1.415597
random_seq	0xff	1.8GHz	100000	1.444034
random_seq	0xff	1.8GHz	100000	1.418768
random_seq	0xff	1.8GHz	100000	1.45667
random_seq	0xff	1.8GHz	100000	1.398222
random_seq	0xff	1.8GHz	1000000	14.051675
random_seq	0xff	1.8GHz	1000000	14.387556
random_seq	0xff	1.8GHz	1000000	14.146766
random_seq	0xff	1.8GHz	1000000	14.320392
random_seq	0xff	1.8GHz	1000000	14.148342
