array_type	config	frequency	array_size	elapsed_time
random_seq	0x09	1.6GHz	10	0.016017
random_seq	0x09	1.6GHz	100	0.022635
random_seq	0x09	1.6GHz	1000	0.054464
random_seq	0x09	1.6GHz	10000	0.464808
random_seq	0x09	1.6GHz	20000	0.990721
random_seq	0x09	1.6GHz	30000	1.483894
random_seq	0x09	1.6GHz	40000	1.968888
random_seq	0x09	1.6GHz	50000	2.539963
random_seq	0x09	1.6GHz	60000	2.99643
random_seq	0x09	1.6GHz	70000	3.560379
random_seq	0x09	1.6GHz	80000	4.018154
random_seq	0x09	1.6GHz	90000	4.482553
random_seq	0x09	1.6GHz	100000	5.0328
random_seq	0x09	1.6GHz	200000	11.28822
random_seq	0x09	1.6GHz	300000	16.42815
random_seq	0x09	1.6GHz	400000	21.537085
random_seq	0x09	1.6GHz	500000	27.20399
random_seq	0x09	1.6GHz	600000	32.921216
random_seq	0x09	1.6GHz	700000	37.632796
random_seq	0x09	1.6GHz	800000	42.946478
random_seq	0x09	1.6GHz	900000	48.634136
random_seq	0x09	1.6GHz	1000000	53.687634
random_seq	0x09	1.8GHz	10	0.016138
random_seq	0x09	1.8GHz	100	0.022744
random_seq	0x09	1.8GHz	1000	0.057984
random_seq	0x09	1.8GHz	10000	0.458143
random_seq	0x09	1.8GHz	20000	0.996666
random_seq	0x09	1.8GHz	30000	1.502766
random_seq	0x09	1.8GHz	40000	1.968853
random_seq	0x09	1.8GHz	50000	2.520148
random_seq	0x09	1.8GHz	60000	2.996429
random_seq	0x09	1.8GHz	70000	3.512883
random_seq	0x09	1.8GHz	80000	4.049126
random_seq	0x09	1.8GHz	90000	4.507976
random_seq	0x09	1.8GHz	100000	5.020689
random_seq	0x09	1.8GHz	200000	11.144024
random_seq	0x09	1.8GHz	300000	16.496754
random_seq	0x09	1.8GHz	400000	21.975561
random_seq	0x09	1.8GHz	500000	27.388219
random_seq	0x09	1.8GHz	600000	32.514141
random_seq	0x09	1.8GHz	700000	37.726073
random_seq	0x09	1.8GHz	800000	42.977254
random_seq	0x09	1.8GHz	900000	48.142344
random_seq	0x09	1.8GHz	1000000	53.980064
random_seq	0x60	1.6GHz	10	0.008797
random_seq	0x60	1.6GHz	100	0.011238
random_seq	0x60	1.6GHz	1000	0.03325
random_seq	0x60	1.6GHz	10000	0.293028
random_seq	0x60	1.6GHz	20000	0.603133
random_seq	0x60	1.6GHz	30000	0.922401
random_seq	0x60	1.6GHz	40000	1.227085
random_seq	0x60	1.6GHz	50000	1.579979
random_seq	0x60	1.6GHz	60000	1.833358
random_seq	0x60	1.6GHz	70000	2.208655
random_seq	0x60	1.6GHz	80000	2.428817
random_seq	0x60	1.6GHz	90000	2.704194
random_seq	0x60	1.6GHz	100000	3.081725
random_seq	0x60	1.6GHz	200000	6.574216
random_seq	0x60	1.6GHz	300000	9.921446
random_seq	0x60	1.6GHz	400000	12.837591
random_seq	0x60	1.6GHz	500000	16.422807
random_seq	0x60	1.6GHz	600000	19.412037
random_seq	0x60	1.6GHz	700000	23.683551
random_seq	0x60	1.6GHz	800000	26.771312
random_seq	0x60	1.6GHz	900000	29.678978
random_seq	0x60	1.6GHz	1000000	32.600623
random_seq	0x60	1.8GHz	10	0.008787
random_seq	0x60	1.8GHz	100	0.010469
random_seq	0x60	1.8GHz	1000	0.032119
random_seq	0x60	1.8GHz	10000	0.282255
random_seq	0x60	1.8GHz	20000	0.607633
random_seq	0x60	1.8GHz	30000	0.903633
random_seq	0x60	1.8GHz	40000	1.229698
random_seq	0x60	1.8GHz	50000	1.558969
random_seq	0x60	1.8GHz	60000	1.87834
random_seq	0x60	1.8GHz	70000	2.130428
random_seq	0x60	1.8GHz	80000	2.454626
random_seq	0x60	1.8GHz	90000	2.819179
random_seq	0x60	1.8GHz	100000	3.087225
random_seq	0x60	1.8GHz	200000	6.588347
random_seq	0x60	1.8GHz	300000	10.187813
random_seq	0x60	1.8GHz	400000	13.062606
random_seq	0x60	1.8GHz	500000	16.934608
random_seq	0x60	1.8GHz	600000	19.998958
random_seq	0x60	1.8GHz	700000	22.528263
random_seq	0x60	1.8GHz	800000	26.482508
random_seq	0x60	1.8GHz	900000	29.423986
random_seq	0x60	1.8GHz	1000000	32.401669
random_seq	0x69	1.6GHz	10	0.008368
random_seq	0x69	1.6GHz	100	0.012358
random_seq	0x69	1.6GHz	1000	0.029082
random_seq	0x69	1.6GHz	10000	0.187678
random_seq	0x69	1.6GHz	20000	0.395647
random_seq	0x69	1.6GHz	30000	0.567702
random_seq	0x69	1.6GHz	40000	0.765412
random_seq	0x69	1.6GHz	50000	0.998554
random_seq	0x69	1.6GHz	60000	1.122734
random_seq	0x69	1.6GHz	70000	1.382003
random_seq	0x69	1.6GHz	80000	1.565974
random_seq	0x69	1.6GHz	90000	1.721289
random_seq	0x69	1.6GHz	100000	1.925033
random_seq	0x69	1.6GHz	200000	4.320586
random_seq	0x69	1.6GHz	300000	6.680694
random_seq	0x69	1.6GHz	400000	8.307386
random_seq	0x69	1.6GHz	500000	10.583619
random_seq	0x69	1.6GHz	600000	13.011874
random_seq	0x69	1.6GHz	700000	14.510112
random_seq	0x69	1.6GHz	800000	16.79048
random_seq	0x69	1.6GHz	900000	18.767613
random_seq	0x69	1.6GHz	1000000	20.762033
random_seq	0x69	1.8GHz	10	0.00922
random_seq	0x69	1.8GHz	100	0.011803
random_seq	0x69	1.8GHz	1000	0.027255
random_seq	0x69	1.8GHz	10000	0.188326
random_seq	0x69	1.8GHz	20000	0.405543
random_seq	0x69	1.8GHz	30000	0.646282
random_seq	0x69	1.8GHz	40000	0.769992
random_seq	0x69	1.8GHz	50000	1.008624
random_seq	0x69	1.8GHz	60000	1.125577
random_seq	0x69	1.8GHz	70000	1.411732
random_seq	0x69	1.8GHz	80000	1.581323
random_seq	0x69	1.8GHz	90000	1.752626
random_seq	0x69	1.8GHz	100000	1.928171
random_seq	0x69	1.8GHz	200000	4.244862
random_seq	0x69	1.8GHz	300000	6.486641
random_seq	0x69	1.8GHz	400000	8.555138
random_seq	0x69	1.8GHz	500000	10.44201
random_seq	0x69	1.8GHz	600000	12.497703
random_seq	0x69	1.8GHz	700000	14.339322
random_seq	0x69	1.8GHz	800000	16.728958
random_seq	0x69	1.8GHz	900000	18.739611
random_seq	0x69	1.8GHz	1000000	20.604713
random_seq	0xf0	1.6GHz	10	0.008542
random_seq	0xf0	1.6GHz	100	0.0114
random_seq	0xf0	1.6GHz	1000	0.030116
