Name,Input,Iterations per Second,Standard Deviation Iterations Per Second,Run Time Average,Run Time Median,Run Time Minimum,Run Time Maximum,Run Time Standard Deviation,Run Time Standard Deviation Ratio,Run Time Sample Size,Memory Usage Average,Memory Usage Median,Memory Usage Minimum,Memory Usage Maximum,Memory Usage Standard Deviation,Memory Usage Standard Deviation Ratio,Memory Usage Sample Size
parallel;p=24;dense_list,__no_input,3.9456056083208106,0.6562018469111704,253446517.28270042,247713753.0,163657631,418483656,42151215.61652782,0.1663120727341119,237,,,,,,,0
parallel;p=24;sparse_list,__no_input,3.837927552935052,0.598420136137944,260557289.37229437,252445329.0,163121460,431667593,40626803.509790145,0.15592272857790207,231,,,,,,,0
parallel;p=40;sparse_list,__no_input,3.8364340468858114,0.5271381857416355,260658723.12121212,252984639.0,180180736,442387158,35815333.90763821,0.13740316640384706,231,,,,,,,0
parallel;p=32;sparse_list,__no_input,3.8222302747817443,0.5891316777721252,261627355.78695652,253990805.5,172983784,433660728,40325399.56652812,0.15413296306585442,230,,,,,,,0
parallel;p=12;sparse_list,__no_input,3.8136491469070046,0.5812410439688552,262216045.9650655,254408615.0,181829847,439604122,39964538.538037814,0.15241072830212002,229,,,,,,,0
parallel;p=4;dense_list,__no_input,3.7988948605836215,0.6988258738825358,263234450.2017544,251380097.5,171143546,424922262,48423305.052977696,0.18395504469822987,228,,,,,,,0
parallel;p=6;dense_list,__no_input,3.7689050414529164,0.7552362611979572,265329051.5418502,249897050.0,176790910,423081733,53168259.393560626,0.20038612087366703,227,,,,,,,0
parallel;p=4;sparse_list,__no_input,3.7499873527301544,0.644769632005992,266667566.03111112,258704194.0,182027160,449455744,45850594.21404018,0.17193914841781308,225,,,,,,,0
parallel;p=40;dense_list,__no_input,3.721913092492059,0.7951879236985359,268679030.15178573,251921725.0,166566309,411383027,57403360.80353833,0.2136503201277348,224,,,,,,,0
parallel;p=32;dense_list,__no_input,3.706216726946141,0.7506206867392945,269816924.8251121,252983342.0,171776110,423644043,54646066.41419797,0.20253016540611024,223,,,,,,,0
parallel;p=2;sparse_list,__no_input,3.70099385514391,0.6987374309243665,270197692.6036036,255619982.5,188505336,448188593,51012579.04255355,0.18879724157153369,222,,,,,,,0
parallel;p=12;dense_list,__no_input,3.6675686283352427,0.7793411149163515,272660201.16818184,252649161.5,190457571,411915384,57939012.65541741,0.21249530517172752,220,,,,,,,0
parallel;p=6;sparse_list,__no_input,3.6375344418584556,0.6599744673567038,274911486.3333333,258291818.0,179101885,435373716,49878445.04652567,0.1814345617630814,219,,,,,,,0
parallel;p=2;dense_list,__no_input,3.6242492871359877,0.7626183572593186,275919209.9587156,266454929.0,170103326,408901065,58059211.153570235,0.2104210546350047,218,,,,,,,0
serial;dense_list,__no_input,2.538402820525675,0.7346199020906818,393948506.4836601,349871236.0,269524128,711105584,114009648.47725181,0.2894024132617967,153,,,,,,,0
serial;sparse_list,__no_input,2.2229240268752224,0.2924167179240324,449857929.42537314,439815183.0,345365074,688886478,59177001.85173831,0.1315459792546686,134,,,,,,,0
