Name,Input,Iterations per Second,Standard Deviation Iterations Per Second,Run Time Average,Run Time Median,Run Time Minimum,Run Time Maximum,Run Time Standard Deviation,Run Time Standard Deviation Ratio,Run Time Sample Size,Memory Usage Average,Memory Usage Median,Memory Usage Minimum,Memory Usage Maximum,Memory Usage Standard Deviation,Memory Usage Standard Deviation Ratio,Memory Usage Sample Size
parallel;p=6;trigrams,__no_input,0.6828911681422544,0.027983011855812097,1464362180.4634147,1452459349.0,1370625534,1620950508,60005556.03696801,0.04097726425711059,41,,,,,,,0
parallel;p=4;trigrams,__no_input,0.6661100452849509,0.030077848459884447,1501253444.65,1494159665.0,1368781004,1649866259,67788309.04546094,0.045154473608062226,40,,,,,,,0
parallel;p=12;trigrams,__no_input,0.5887464580879387,0.06379974527771066,1698524018.7222223,1657521394.0,1377045589,2141846533,184061234.2611582,0.10836539974255123,36,,,,,,,0
parallel;p=4;dna,__no_input,0.5747491262328581,0.029441460888730307,1739889552.4285715,1741235441.0,1529452588,1871620095,89125651.29813288,0.05122489020853627,35,,,,,,,0
parallel;p=6;dna,__no_input,0.573496477640075,0.027248556930083878,1743689872.5428572,1750369767.0,1565952708,2026930315,82847994.0380973,0.047513032760394744,35,,,,,,,0
parallel;p=24;trigrams,__no_input,0.5655463626713435,0.048620108409536456,1768201629.4411764,1721161191.0,1540258886,2116708850,152012568.00109407,0.085970154913349,34,,,,,,,0
parallel;p=32;trigrams,__no_input,0.5353949623653576,0.05955012948369653,1867779994.7575758,1885920067.0,1299054272,2298424844,207746707.29712588,0.11122654053487166,33,,,,,,,0
parallel;p=40;trigrams,__no_input,0.5312225440434668,0.06233768543819996,1882450229.59375,1864322539.5,1427332169,2446695025,220900998.23753077,0.11734759026548247,32,,,,,,,0
parallel;p=24;dna,__no_input,0.506836534630731,0.044618529564379276,1973022723.6451614,1940580838.0,1650681161,2476147155,173691844.82782555,0.08803337272615376,31,,,,,,,0
parallel;p=12;dna,__no_input,0.5041733739982719,0.05576761755947626,1983444687.032258,1954258705.0,1563313867,2681799447,219392753.48794836,0.11061198475679006,31,,,,,,,0
parallel;p=32;dna,__no_input,0.46213737600474986,0.04024839494196472,2163858739.678571,2171981606.0,1506040112,2538898202,188454441.63406083,0.08709184115320516,28,,,,,,,0
parallel;p=40;dna,__no_input,0.4276852958969554,0.03346688771514044,2338167829.4615383,2333570435.5,2096228843,2699033651,182964438.9424986,0.07825120020774294,26,,,,,,,0
parallel;p=2;dna,__no_input,0.39595441950921895,0.0195077314345945,2525543220.9583335,2540419569.0,2349964707,2730397025,124427500.87745601,0.04926761888091592,24,,,,,,,0
parallel;p=2;trigrams,__no_input,0.38887976533750546,0.02100965628476239,2.5714889e9,2545511562.5,2338591442,2817437052,138927511.13494664,0.05402609792908172,24,,,,,,,0
serial;dna,__no_input,0.20567773208225917,0.00898575687499304,4861975041.615385,4711153685.0,4664871929,5249642693,212412521.34561238,0.04368852565624002,13,,,,,,,0
serial;trigrams,__no_input,0.18031388955999625,0.005382143456795489,5545884470.909091,5437767688.0,5400729773,5783675692,165537695.90398327,0.02984874581724708,11,,,,,,,0
